lx,report_date,report_time,reporter_name,reporter_phone,report_type,incident_location,incidenet_location_specific,incident_location_province,summary,investigator,case_status,note
2568-001,2025-01-02,10:00 น.,นายวีระศักดิ์ กำจัดภัย,081-222-3333,อุบัติเหตุจราจร,ถนนสุขุมวิท ซอย 22,เขตคลองเตย,กรุงเทพ,เมื่อวันที่ 2025-01-02 เวลา 09:30 น. รถยนต์ของนายวีระศักดิ์ถูกรถจักรยานยนต์ตัดหน้ากะทันหัน ทำให้เฉี่ยวชนกันเล็กน้อย รถจักรยานยนต์ล้ม คนขับบาดเจ็บเล็กน้อย นายวีระศักดิ์จอดรถลงมาช่วยเหลือและเรียกประกัน,ร.ต.อ.วิชาญ ชัยชนะ,ยุติการสอบสวน,คู่กรณีตกลงไม่ติดใจเอาความหลังตกลงค่าเสียหายแล้ว
2568-002,2025-01-03,09:00 น.,นายวิวัฒน์ แสงจันทร์,065-333-4444,ฆาตกรรม,บ้านพัก ซอยลาดพร้าว 122,เขตวังทองหลาง,กรุงเทพ,เมื่อวันที่ 2025-01-02 เวลาประมาณ 22:00 น. พบศพนายดำรงค์ นอนเสียชีวิตอยู่ภายในบ้านพัก มีร่องรอยการถูกยิงด้วยอาวุธปืนไม่ทราบขนาด เจ้าหน้าที่ตำรวจเข้าตรวจสอบที่เกิดเหตุและเก็บปลอกกระสุน,พ.ต.ท.หญิงปรีดา ศรีสุข,อยู่ระหว่างสอบสวน,ส่งศพชันสูตรและตรวจสอบกล้องวงจรปิดในบริเวณใกล้เคียง
2568-003,2025-01-05,10:30 น.,นางสาวกานดา นภา,062-111-2222,ของหาย,สวนเบญจกิติ,เขตคลองเตย,กรุงเทพ,"เมื่อวันที่ 2025-01-05 เวลาประมาณ 10:00 น. นางสาวกานดาทำสร้อยข้อมือทองคำขาวพร้อมจี้เพชร มูลค่าประมาณ 20,000 บาท หล่นหายไปขณะเดินออกกำลังกายในสวนสาธารณะ เธอพยายามเดินย้อนหาแล้วแต่ไม่พบ",พ.ต.ท.หญิงปรีดา ศรีสุข,อยู่ระหว่างสอบสวน,ประสานงานกับเจ้าหน้าที่สวนเพื่อตรวจสอบพื้นที่และสอบถามผู้พบเห็น
2568-004,2025-01-05,14:00 น.,นายวิชัย พิทักษ์,090-555-6666,ฉ้อโกง,ห้างสรรพสินค้าเมเจอร์ รัชโยธิน,เขตจตุจักร,กรุงเทพ,"เมื่อวันที่ 2025-01-04 นายวิชัยถูกหญิงคนหนึ่งหลอกขายโทรศัพท์มือถือปลอม โดยอ้างว่าเป็นรุ่นใหม่ล่าสุดในราคาถูก เธอหลงเชื่อและซื้อไปในราคา 20,000 บาท เมื่อนำไปตรวจสอบจึงพบว่าเป็นของปลอม",พ.ต.ท.หญิงปรีดา ศรีสุข,อยู่ระหว่างสอบสวน,รวบรวมหลักฐานการซื้อขายและตรวจสอบกล้องวงจรปิดของห้าง
2568-005,2025-01-05,15:00 น.,กรมสอบสวนคดีพิเศษ (DSI),02-456-7890,ค้ามนุษย์,โรงงานผลิตเสื้อผ้าแห่งหนึ่งในจังหวัดนครปฐม,จังหวัดนครปฐม,จังหวัดนครปฐม,เมื่อวันที่ 2025-01-04 เจ้าหน้าที่ DSI เข้าตรวจค้นโรงงาน พบแรงงานต่างด้าวจำนวน 30 คน ถูกกักขังและบังคับใช้แรงงานเกินเวลา โดยไม่ได้รับค่าจ้างตามกฎหมาย และถูกยึดเอกสารประจำตัวไว้ทั้งหมด,พ.ต.ท.หญิงปรีดา ศรีสุข,อยู่ระหว่างสอบสวน,ช่วยเหลือเหยื่อและรวบรวมพยานหลักฐานเพื่อดำเนินคดีกับผู้กระทำผิด
2568-007,2025-01-08,09:30 น.,นางผ่องศรี ชื่นฤดี,081-123-4567,ลักทรัพย์,อพาร์ตเมนต์ศุภาลัยเพลส รัชดา ห้อง 702,เขตดินแดง,กรุงเทพ,"เมื่อวันที่ 2025-01-07 เวลาประมาณ 21:00 น. นางผ่องศรีกลับถึงห้องพัก พบว่าประตูไม่ได้ล็อคและทรัพย์สินมีค่าหลายรายการหายไป ได้แก่ เงินสด 10,000 บาท, แหวนเพชร 1 วง มูลค่า 50,000 บาท และกล้องดิจิทัล Mirrorless ยี่ห้อ Sony รุ่น A7C มูลค่า 65,000 บาท คาดว่าคนร้ายใช้กุญแจผีหรือสะเดาะกลอนเข้ามา",ร.ต.อ.วิชาญ ชัยชนะ,อยู่ระหว่างสอบสวน,ตรวจสอบกล้องวงจรปิดของอพาร์ตเมนต์และเก็บลายนิ้วมือแฝง
2568-008,2025-01-10,09:00 น.,นายธนากรณ์ วงศ์วาน,065-111-2222,อุบัติเหตุจราจร,ถนนพหลโยธิน ซอย 2,เขตพญาไท,กรุงเทพ,เมื่อวันที่ 2025-01-10 เวลา 08:50 น. รถยนต์ของนายธนากรณ์ถูกรถจักรยานยนต์ที่ขับย้อนศรมาชนด้านหน้าอย่างจัง รถจักรยานยนต์ได้รับความเสียหายหนัก คนขับบาดเจ็บเล็กน้อย ส่วนรถยนต์ของนายธนากรณ์เสียหายที่กันชนหน้า,พ.ต.ท.หญิงปรีดา ศรีสุข,อยู่ระหว่างสอบสวน,รอผลการสอบสวนเพิ่มเติมจากพนักงานสอบสวน
2568-009,2025-01-10,11:00 น.,นางสาวกัญญาณัฐ อ่อนนุช,061-012-3456,ของหาย,สวนสาธารณะลุมพินี,เขตปทุมวัน,กรุงเทพ,"เมื่อวันที่ 2025-01-10 เวลา 10:40 น. นางสาวกัญญาณัฐทำกระเป๋าสะพายข้างยี่ห้อ Coach มูลค่า 10,000 บาท หล่นหายไปขณะเดินออกกำลังกาย เธอได้พยายามเดินหาในบริเวณดังกล่าวแล้วแต่ไม่พบ",พ.ต.ท.หญิงปรีดา ศรีสุข,อยู่ระหว่างสอบสวน,ประสานงานกับเจ้าหน้าที่สวนเพื่อตรวจสอบพื้นที่และสอบถามผู้พบเห็น
2568-010,2025-01-11,08:45 น.,นายสุทัศน์ พิทักษ์,085-888-9999,ลักทรัพย์,บริษัท โลจิสติกส์เอ็กซ์เพรส สำนักงานใหญ่,ข้อมูลไม่เพียงพอที่จะระบุเขต,unknown,"เมื่อคืนวันที่ 2025-01-10 ระหว่างเวลา 22:00 น. ถึง 06:00 น. ของเช้าวันที่ 11 ม.ค. พัสดุอิเล็กทรอนิกส์ขนาดเล็กจำนวน 50 กล่อง มูลค่ารวม 100,000 บาท ได้หายไปจากคลังสินค้า มีร่องรอยการตัดโซ่ประตูหลัง",ร.ต.อ.วิชาญ ชัยชนะ,อยู่ระหว่างสอบสวน,ตรวจสอบกล้องวงจรปิดของบริษัทและเก็บหลักฐานรอยเท้าในที่เกิดเหตุ
2568-011,2025-01-12,10:00 น.,นายธนวัฒน์ พลเมืองดี,081-555-6666,อุบัติเหตุจราจร,ถนนวิภาวดีรังสิต (ขาเข้า),ข้อมูลไม่เพียงพอที่จะระบุเขต,unknown,เมื่อวันที่ 2025-01-12 เวลา 09:45 น. รถยนต์ของนายธนวัฒน์ถูกรถจักรยานยนต์ตัดหน้ากะทันหัน ทำให้เฉี่ยวชนกันเล็กน้อย รถจักรยานยนต์ล้ม คนขับบาดเจ็บเล็กน้อย นายธนวัฒน์จอดรถลงมาช่วยเหลือและเรียกประกัน,ร.ต.อ.วิชาญ ชัยชนะ,ยุติการสอบสวน,คู่กรณีตกลงไม่ติดใจเอาความหลังตกลงค่าเสียหายแล้ว
